id,total_score,explanation
1,3,3
2,2,2
3,2,2
4,3,3
5,2,2
6,2,2
7,2,2
8,2,2
9,4,4
10,2,2
11,2,2
12,3,3
13,3,3
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,1,1
23,1,1
24,2,2
25,2,2
26,2,2
27,2,2
28,1,1
29,2,2
30,1,1
31,2,2
32,1,1
33,2,2
34,1,1
35,1,1
36,2,2
37,1,1
38,2,2
39,2,2
40,2,2
41,2,2
42,2,2
43,1,1
44,1,1
45,2,2
46,1,1
47,2,2
48,2,2
49,1,1
50,1,1
51,2,2
52,1,1
53,3,3
54,4,4
55,3,3
56,2,2
57,2,2
58,2,2
59,3,3
60,3,3
61,4,4
62,3,3
63,2,2
64,2,2
65,3,3
66,4,4
67,5,5
68,2,2
69,2,2
70,2,2
71,2,2
72,2,2
73,2,2
74,2,2
75,2,2
76,3,3
77,2,2
78,1,1
79,2,2
80,3,3
81,4,4
82,4,4
83,3,3
84,4,4
85,3,3
86,3,3
87,3,3
88,3,3
89,4,4
90,1,1
91,1,1
92,2,2
93,1,1
94,2,2
95,3,3
96,2,2
97,2,2
98,5,5
99,3,3
100,2,2
101,2,2
102,3,3
103,2,2
104,1,1
105,1,1
106,1,1
107,2,2
108,1,1
109,1,1
110,2,2
111,1,1
112,1,1
113,2,2
114,1,1
115,1,1
116,1,1
